HIT,HIT_id,HIT_website_address,HIT_results_address,HIT_status,submitted_assignments,Worker_id,Assignment_id,Accept_time,Submit_time,Full_response,isBot,assignment_status,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
36,385MDVINFCMMCUX7JCC0Y5SF32AJWO,https://workersandbox.mturk.com/mturk/preview?groupId=3XLRCUUVLVC37ZX0FXGCVVBP3P5U4D,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3TXMY6UCAFWX73T9ND1A8WTECM3CQL,2023-11-11 12:01:50-08:00,2023-11-11 12:03:43-08:00,"[{""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-2,-3,-1,0,0,2,-1,0,-2,2,,
37,3P6ENY9P7938KTIC6V50L13SBZ8HIA,https://workersandbox.mturk.com/mturk/preview?groupId=32X1LLNITP6W813ATOL4BQFV3PF3DS,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3QAVNHZ3ENCYNRGYBUXNLF4W2DVALS,2023-11-11 12:04:14-08:00,2023-11-11 12:06:04-08:00,"[{""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-2,1,0,0,-3,0,-1,0,1,1,,
38,3EN4YVUOUCZ11U2XTH8M0O6MC4GJXH,https://workersandbox.mturk.com/mturk/preview?groupId=3PDAEG1VSKXL3I10T2ZM0NH33L0U5I,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,39K0FND3AINIT9YJB6Y2LSJL2ILAMU,2023-11-11 12:06:18-08:00,2023-11-11 12:08:12-08:00,"[{""q1"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-1,-2,0,2,0,-2,1,-1,3,1,,
41,388CL5C1RJUAAUQIRY2DDHVKS32HLO,https://workersandbox.mturk.com/mturk/preview?groupId=35BG8P11HILT6LH6KUGUZQIGF2V3F3,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3M1CVSFP61D9EOWB3Z5J213QCJIAQH,2023-11-11 12:11:29-08:00,2023-11-11 12:13:47-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,0,0,1,-3,-3,-2,1,-2,2,3,,
42,3EQPA8A3743Q6P2CUZW7X9MXK4EJZE,https://workersandbox.mturk.com/mturk/preview?groupId=30YY7N8R2NB0QMFJHVEJY7VZURVU7X,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,39JEC7537V9PCBPQ9CVKEJSMTEICVF,2023-11-11 12:13:58-08:00,2023-11-11 12:15:29-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,0,0,-2,1,0,1,0,0,-3,0,,
43,3XEDXEGFX3VOFO248QJRSPJOHMVK0M,https://workersandbox.mturk.com/mturk/preview?groupId=32K57UXCKJU4Q0K2R06PC7RU5B1U8K,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,336YQZE83WMLN3M2GA7LDH3ZA4K5MJ,2023-11-11 12:15:40-08:00,2023-11-11 12:17:05-08:00,"[{""q1"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-1,-2,-2,3,0,-2,0,-1,0,0,,
44,3OB6JN3A9QW756M6NFFMRYCFFHQMRS,https://workersandbox.mturk.com/mturk/preview?groupId=31S093JAJ7JN09O3L9RQLC7WGJ0RWS,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3018Q3ZVOJY9QPBBGEUJ7RDV85KARI,2023-11-11 12:17:16-08:00,2023-11-11 12:19:03-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,1,0,-1,-3,1,1,3,1,-3,0,,
45,3NSM4HLQNR1YEK5Y2TX33HMFTWLQQI,https://workersandbox.mturk.com/mturk/preview?groupId=3DDOM87YLDVN1Z1QZORPZPP0XVVVTZ,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,338JKRMM277W1VX8K9IPTNBPLWMHAS,2023-11-11 12:19:15-08:00,2023-11-11 12:20:51-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-3,2,0,1,-1,2,-2,0,-2,2,,
46,31SIZS5W59MYQLKYF8M387WKPINQRJ,https://workersandbox.mturk.com/mturk/preview?groupId=38O8SQPJLPW21CGFZTHZ4LB2G92VUQ,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3Z7EFSHGNAMHG0UL9RW224P79PQCXI,2023-11-11 12:21:02-08:00,2023-11-11 12:23:12-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,3,0,2,1,0,-1,0,-2,3,3,,
47,3DA79LNS592JZZROLMF2VE4R3B6T3W,https://workersandbox.mturk.com/mturk/preview?groupId=3EI427GH2WOMLQ4Z1M3FFENV0KZ0VT,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,37UQDCYH6Y3J0UUUIVN9YX08S3R7VH,2023-11-11 12:23:23-08:00,2023-11-11 12:25:08-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-3,0,0,-2,0,0,-2,-1,0,-3,,
48,3K2CEDRACB8KLLZYR4KHRDDX32NMT5,https://workersandbox.mturk.com/mturk/preview?groupId=37AIU3VBY7W2P9TTVENCNVL3PL6RXL,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3R3YRB5GRGB16H3SK8POC20FF4OAUM,2023-11-11 12:25:19-08:00,2023-11-11 12:27:32-08:00,"[{""q1"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-2,0,0,-3,-3,1,-1,-1,-2,1,,
50,3IKMEYR0LW2VBY5INDN5BDC3EKFK26,https://workersandbox.mturk.com/mturk/preview?groupId=3VRC340QZ6YI9ODHOYQ38YXPVZ1UAO,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3ZPBJO59KQ9UZ20K4J9RJOJV6ZJHDU,2023-11-11 12:29:36-08:00,2023-11-11 12:31:10-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q6"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,0,-3,0,-2,3,-2,0,0,-1,1,,
51,39WSF6KUV2S6W52DEPAZKV21VSFOEW,https://workersandbox.mturk.com/mturk/preview?groupId=3JOPS26JUGIH7VZORWB81S1CQF6Y7Z,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,32N49TQG3HQ1JWSSPYZT8O2YTBXAVB,2023-11-11 12:31:22-08:00,2023-11-11 12:33:00-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,0,2,0,-3,0,1,2,1,-3,0,,
52,329E6HTMSW9KWG11RD1AUNHVKYFK3H,https://workersandbox.mturk.com/mturk/preview?groupId=3VY1OMW936CNSYI9UCQZ39HVDHMUBJ,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3EKVH9QMEZCQKCX2LY6KWKDTHG1D28,2023-11-11 12:33:12-08:00,2023-11-11 12:34:51-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":true,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q6"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q8"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":true,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,-3,0,-2,-2,3,-1,0,-1,2,-3,,
53,3FDWKV9VCN9ZLYENR9ARW9ZZMGUMUW,https://workersandbox.mturk.com/mturk/preview?groupId=3PS3UFWQYKBRPEJ30A9E69SCRR0RYR,https://requestersandbox.mturk.com/mturk/manageHITs,Assignable,1,A2EE2N0X2ZPJ5E,3YJ6NA41JCOZF5Y0XS37VVGZXAQJPF,2023-11-11 12:35:02-08:00,2023-11-11 12:37:10-08:00,"[{""q1"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q10"":{""-1"":true,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q2"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q3"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":true,""2"":false,""3"":false,""video not playing"":false},""q4"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q5"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q6"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q7"":{""-1"":false,""-2"":false,""-3"":false,""0"":false,""1"":false,""2"":false,""3"":true,""video not playing"":false},""q8"":{""-1"":false,""-2"":false,""-3"":true,""0"":false,""1"":false,""2"":false,""3"":false,""video not playing"":false},""q9"":{""-1"":false,""-2"":false,""-3"":false,""0"":true,""1"":false,""2"":false,""3"":false,""video not playing"":false},""worker_ip"":""104.142.117.203-false""}]",FALSE,Submitted,0,0,1,-3,0,-3,3,-3,0,-1,,