cow_L,cow_R,response,expert
6029,7138,2,KI
5087,4008,-2,KI
6092,7114,1,KI
6053,6088,3,KI
4035,7060,-3,KI
7045,4026,3,KI
7109,6062,1,KI
6086,5064,-2,KI
6025,6088,1,KI
6096,7136,-1,KI
8083,7060,-2,KI
7136,7060,-1,KI
6029,6062,2,KI
6095,6025,-2,KI
6094,7114,0,KI
6068,7163,0,KI
8083,7109,-1,KI
6029,8083,1,KI
6046,7153,0,KI
7138,6088,3,KI
6046,5064,1,KI
7045,7163,1,KI
7045,6062,2,KI
6068,7136,-2,KI
7138,7064,-2,KI
5064,7163,0,KI
6046,6088,3,KI
6086,6053,-2,KI
7138,6053,0,KI
4008,7060,-3,KI
6095,8083,0,KI
7109,5118,0,KI
6029,7128,0,KI
7045,5118,0,KI
5087,4035,3,KI
7128,4035,3,KI
6062,6053,0,KI
8083,7163,-2,KI
4026,4008,0,KI
7128,6094,1,KI
6062,7114,0,KI
7116,4035,3,KI
6086,7116,0,KI
7045,6025,1,KI
7138,4026,0,KI
6095,4026,0,KI
4026,6053,-1,KI
6068,6053,0,KI
6095,4008,0,KI
6068,7109,0,KI
7138,7114,1,KI
7045,6046,2,KI
7128,6025,2,KI
6053,5118,-1,KI
6046,7128,-1,KI
6062,7116,2,KI
6062,6096,0,KI
6096,4035,3,KI
5087,6062,-1,KI
6046,6025,1,KI
7114,6088,3,KI
7116,7136,-3,KI
7045,6088,3,KI
6068,8083,0,KI
6095,6088,2,KI
6094,7153,0,KI
6086,4026,-1,KI
6025,7114,0,KI
7136,5118,0,KI
6046,6029,-1,KI
7138,6095,2,KI
5064,7109,0,KI
7138,6096,1,KI
6068,6029,0,KI
8083,6092,-1,KI
7064,7109,0,KI
6053,4008,2,KI
7128,7153,0,KI
6046,6096,0,KI
4008,6088,1,KI
7138,8083,0,KI
6088,7163,-2,KI
5064,6053,0,KI
6029,6025,1,KI
6096,5064,-1,KI
6096,7163,-1,KI
7045,5064,0,KI
5064,4008,2,KI
7045,7109,0,KI
4035,7163,-3,KI
5087,6029,-3,KI
7136,7109,0,KI
6046,5118,-1,KI
6029,7153,1,KI
6095,6086,1,KI
7064,7163,0,KI
6046,7116,2,KI
4008,7163,-1,KI
4035,6094,-3,KI
5118,7060,1,KI
6095,6096,-2,KI
6046,6094,0,KI
4035,6053,-2,KI
7045,7114,1,KI
7064,6094,0,KI
5087,6053,-2,KI
5087,6094,-3,KI
7064,6092,0,KI
7138,6062,0,KI
7136,7114,0,KI
5064,7114,1,KI
5087,6088,0,KI
6025,6053,1,KI
6068,7128,-1,KI
5087,4026,-2,KI
5064,7116,2,KI
7064,6062,2,KI
6096,6088,2,KI
6046,6068,0,KI
4008,6092,-1,KI
4026,7153,0,KI
7064,6025,1,KI
7128,7109,0,KI
7116,8083,-1,KI
7136,4035,3,KI
4008,5118,-1,KI
6029,4035,3,KI
6025,7163,0,KI
6088,6092,-2,KI
6029,6092,0,KI
7128,6053,1,KI
6086,7109,-1,KI
6096,6092,0,KI
5087,6025,-3,KI
7138,5118,0,KI
8083,6088,2,KI
6088,5118,-3,KI
6053,8083,0,KI
7064,4026,1,KI
6025,6092,-1,KI
4026,6088,2,KI
7128,4008,2,KI
6086,7060,-3,KI
7045,6029,1,KI
7116,7060,-3,KI
6086,6062,0,KI
7136,6025,1,KI
6029,4026,3,KI
7116,7163,-3,KI
6096,6053,-2,KI
7116,6053,-2,KI
6094,6092,0,KI
6068,6086,2,KI
7136,6053,0,KI
4035,4026,-2,KI
6029,6086,2,KI
6025,8083,0,KI
7138,6068,0,KI
5064,4026,2,KI
4035,7153,-3,KI
6068,4008,2,KI
4035,7114,-3,KI
6068,6092,-1,KI
6092,7153,0,KI
6046,4026,0,KI
4008,7114,-1,KI
5087,7109,-3,KI
7116,7128,-2,KI
6096,7116,2,KI
5087,7116,-2,KI
6029,6094,0,KI
6095,5118,-2,KI
7136,7128,0,KI
4026,6094,0,KI
7138,7128,0,KI
5064,5118,0,KI
4035,6092,-3,KI
5087,7136,-3,KI
6025,5118,-1,KI
7138,7153,0,KI
6068,6094,0,KI
7138,6025,0,KI
7045,6094,1,KI
4035,6088,-2,KI
6094,8083,0,KI
6053,7109,0,KI
7045,7064,1,KI
7045,7138,1,KI
5087,6092,-3,KI
6053,7060,0,KI
7136,8083,1,KI
4026,7060,-2,KI
7045,6086,2,KI
7045,5087,3,KI
7138,7109,0,KI
5087,7114,-2,KI
6068,7114,2,KI
6095,6094,-1,KI
6068,7153,1,KI
6095,7128,-1,KI
5087,7153,-3,KI
6029,7060,0,KI
7045,8083,1,KI
6086,6092,-2,KI
4026,7114,0,KI
6096,6094,0,KI
7136,4008,1,KI
6062,6094,-1,KI
6094,5118,-1,KI
6068,6025,1,KI
7045,7136,1,KI
5087,7163,-3,KI
7064,6086,3,KI
4035,5118,-3,KI
7060,7153,1,KI
4035,7109,-2,KI
5087,6096,-2,KI
6086,4035,2,KI
7136,4026,2,KI
6029,7116,3,KI
7114,7153,-1,KI
6029,6088,3,KI
7064,7060,0,KI
6062,5118,-1,KI
6062,6092,-1,KI
4035,4008,-2,KI
6086,8083,-2,KI
6062,8083,-1,KI
7045,7128,0,KI
6062,7060,-2,KI
7116,7153,-3,KI
5064,8083,0,KI
4008,7109,-2,KI
7045,7153,0,KI
4026,5118,-3,KI
6068,7064,0,KI
5087,8083,-3,KI
6053,7163,0,KI
6046,8083,0,KI
7064,5118,-1,KI
7138,4008,0,KI
6062,7153,0,KI
7109,6088,2,KI
6062,5064,0,KI
6086,6096,-1,KI
6086,6025,-2,KI
6029,7163,1,KI
6046,7136,1,KI
7128,4026,1,KI
7045,6095,3,KI
6029,5064,0,KI
7116,4026,-1,KI
6094,7163,0,KI
6095,7060,-3,KI
6096,7109,0,KI
6094,7060,-1,KI
7114,7109,-1,KI
6029,6095,2,KI
7045,6053,0,KI
7138,4035,2,KI
7138,7060,0,KI
6068,6095,1,KI
6094,6088,2,KI
6096,4026,2,KI
6092,7060,0,KI
6029,7136,1,KI
5118,7153,1,KI
6068,5064,-1,KI
6095,6092,-2,KI
7136,7163,0,KI
5118,7163,0,KI
7114,7060,-1,KI
6046,6086,2,KI
5064,6025,3,KI
7109,6092,0,KI
6025,7153,-1,KI
7064,6088,3,KI
5087,7128,-2,KI
6062,6025,0,KI
6029,7114,2,KI
6046,7064,0,KI
7064,7136,0,KI
4026,8083,-2,KI
5087,7138,-3,KI
7045,7060,0,KI
8083,5118,-1,KI
6068,7060,0,KI
6029,4008,2,KI
6062,6088,2,KI
7136,6088,3,KI
4026,6092,-2,KI
6096,5118,-1,KI
7064,8083,0,KI
7064,7116,2,KI
6095,7109,-1,KI
6046,7114,0,KI
7116,6094,-2,KI
7138,6086,2,KI
6062,7163,-2,KI
5064,7060,1,KI
6025,7060,0,KI
5087,6095,0,KI
6053,7153,-1,KI
6046,6092,0,KI
6046,6053,1,KI
7128,8083,1,KI
6046,7163,-1,KI
6062,4035,2,KI
7114,7163,0,KI
7116,6025,-2,KI
5064,7153,1,KI
5087,6086,-1,KI
5064,4035,3,KI
7163,7153,1,KI
7163,7060,0,KI
4035,8083,-3,KI
7138,6094,0,KI
6062,4026,0,KI
8083,4008,1,KI
6068,7116,0,KI
6095,6053,-1,KI
6096,8083,0,KI
7045,6092,0,KI
6029,7064,0,KI
6086,7114,0,KI
5087,7060,-3,KI
6094,4008,2,KI
7128,6088,3,KI
6095,7163,-2,KI
7116,7109,-3,KI
6096,7114,0,KI
7064,6053,1,KI
7116,6092,-3,KI
6086,7128,-2,KI
7064,7128,1,KI
6095,5064,-2,KI
7128,7114,2,KI
7064,6095,3,KI
7136,6094,0,KI
7138,6092,0,KI
4026,7109,-2,KI
7064,7153,1,KI
5064,6092,0,KI
6046,6062,1,KI
6053,7114,0,KI
6046,7138,0,KI
7138,7163,-1,KI
7116,4008,-2,KI
5064,6088,3,KI
6095,6062,0,KI
6086,7153,-2,KI
7109,7163,0,KI
6062,7136,-1,KI
7064,5064,0,KI
5064,7128,1,KI
6062,7128,-1,KI
6096,6025,1,KI
6068,4026,1,KI
7045,7116,3,KI
6046,7109,1,KI
6086,5118,-3,KI
6068,6096,0,KI
7045,4008,2,KI
8083,7114,0,KI
6096,4008,1,KI
4026,7163,-1,KI
6046,6095,2,KI
6086,7163,-2,KI
6086,6094,-2,KI
6029,6053,2,KI
6068,4035,3,KI
7064,4008,2,KI
6025,4008,1,KI
6096,7128,0,KI
7138,5064,-1,KI
5118,6092,0,KI
7045,4035,3,KI
6068,6088,3,KI
7163,6092,0,KI
5064,6094,0,KI
4035,6025,-2,KI
6086,6088,0,KI
7116,7114,-2,KI
6046,7060,-1,KI
7136,7153,0,KI
5087,5118,-3,KI
5087,6046,-2,KI
6029,5118,0,KI
5087,7064,-3,KI
7064,6096,1,KI
6095,7114,-1,KI
7114,5118,-1,KI
6095,7153,-2,KI
7064,7114,1,KI
6086,4008,1,KI
7138,7136,0,KI
6086,7136,-2,KI
6094,6053,0,KI
6096,7153,0,KI
7128,7060,0,KI
6095,7116,1,KI
5064,7136,0,KI
6046,4008,0,KI
4008,7153,-2,KI
7064,4035,3,KI
6096,7060,-2,KI
7128,7163,0,KI
7128,5118,0,KI
6053,6092,-1,KI
6094,6025,1,KI
7136,6092,0,KI
7138,7116,2,KI
8083,7153,0,KI
7045,6068,1,KI
6029,6096,2,KI
6029,7109,1,KI
7116,5118,-3,KI
6062,4008,0,KI
7116,6088,-2,KI
6088,7153,-2,KI
7045,6096,3,KI
4026,6025,-1,KI
7128,6092,0,KI
7109,7060,-1,KI
6095,4035,2,KI
6088,7060,-3,KI
6025,7109,0,KI
6094,7109,0,KI
6068,6062,1,KI
6095,7136,-3,KI
5087,5064,-3,KI
6046,4035,3,KI
7109,7153,0,KI
6068,5118,-1,KI
5087,6068,-3,KI
